Arrondissement,annee_mutation,prix_m2,type_local,nombre_pieces_principales
8,2020,8982.035928143712,Local industriel. commercial ou assimilé,0.0
8,2020,10475.0,Local industriel. commercial ou assimilé,0.0
1,2020,14117.64705882353,Local industriel. commercial ou assimilé,0.0
3,2020,2904.1666666666665,Appartement,5.0
3,2020,3700.0,Local industriel. commercial ou assimilé,0.0
1,2020,15359.375,Appartement,1.0
3,2020,14554.666666666666,Appartement,2.0
3,2020,16317.64705882353,Appartement,1.0
3,2020,13209.52380952381,Appartement,1.0
1,2020,6581.632653061224,Appartement,2.0
3,2020,6666.666666666667,Local industriel. commercial ou assimilé,0.0
8,2020,126.05042016806723,Appartement,2.0
3,2020,10000.0,Appartement,1.0
3,2020,10666.666666666666,Appartement,3.0
3,2020,11683.75,Appartement,1.0
1,2020,14310.344827586207,Appartement,2.0
3,2020,423076.92307692306,Appartement,1.0
3,2020,142857.14285714287,Local industriel. commercial ou assimilé,0.0
3,2020,127906.97674418605,Local industriel. commercial ou assimilé,0.0
8,2020,6900.0,Appartement,1.0
3,2020,14398.333333333334,Appartement,1.0
3,2020,11718.75,Appartement,2.0
3,2020,8125.0,Appartement,3.0
8,2020,12500.0,Local industriel. commercial ou assimilé,0.0
8,2020,13695.652173913044,Local industriel. commercial ou assimilé,0.0
3,2020,13000.0,Appartement,1.0
8,2020,2500.0,Appartement,2.0
3,2020,12272.727272727272,Appartement,5.0
3,2020,14699.91304347826,Appartement,2.0
8,2020,9791.666666666666,Appartement,1.0
1,2020,10844.155844155845,Appartement,3.0
3,2020,12666.666666666666,Appartement,2.0
3,2020,3181.818181818182,Local industriel. commercial ou assimilé,0.0
8,2020,10000.0,Appartement,1.0
8,2020,9285.714285714286,Appartement,1.0
3,2020,11521.739130434782,Appartement,3.0
3,2020,12020.833333333334,Appartement,2.0
8,2020,30157.48031496063,Appartement,5.0
8,2020,14706.944444444445,Appartement,2.0
1,2020,39917.69547325103,Appartement,6.0
8,2020,16125.0,Appartement,2.0
8,2020,31914.893617021276,Appartement,2.0
1,2020,16176.666666666666,Appartement,1.0
8,2020,20666.666666666668,Appartement,1.0
3,2020,10320.588235294117,Appartement,1.0
3,2020,789.4736842105264,Appartement,1.0
8,2020,13150.684931506848,Appartement,3.0
8,2020,25945.945945945947,Appartement,2.0
3,2020,14482.758620689656,Appartement,2.0
8,2020,485.0870370370371,Local industriel. commercial ou assimilé,0.0
